" доступность, оперативность. нет.",5,1,0
" Много пунктов выдачиКак правило минимальная ценаВозврат товара безпроблемно. не замечено. Любимый магазин, рекомендую всем.",5,0,0
" Цена. Нет. купила набор картриджей для домашнего принтера, очень удобно – консультанты подобрали под мою модель и доставка на дом.Основной плюс, это конечно же цена, с местными игроками не сравнить, поэтому и заказала.",5,6,0
 Широкий ассортимент товара. Приемлимые цены. Как таковых нет. Интересовал смартфон. Зашел нажал чуток подождал и доволен покупкой. Интерфейс понятен. Все просто до мелочи. Оперативность доставки. Отличный маркет.,5,6,0
" грамотные консультанты, низкие цены, широкий выбор радиоуправляемых игрушек. немного глючил сайт. Заказал вертолет радиоуправляемый SymaGyro [S33G/S33].Заказал по почте, благодаря хорошей упаковке – ничего не повредилось, все отлично работает. Доволен, буду советовать друзьям.",5,6,0
" Быстро, очень хорошая работа менеджеров,всегда проверяют весь товар,помогают приобрести дополнительные аксессуары,вообще всё отлично... Нет.",5,5,0
" очень удобно, отличная команда вежливые менеджеры молодцы. их просто нет. заказал жене док станцию для iphone 5s наложенным платежом в Якутию. после размещения заказа на завтрашний день позвонили отправили товар. все ок пришел через 2 недели (т.к. я заказал по обычной доставке т.е. медленной). молодцы отличная команда отличный магазин я доволен жена довольна.",5,5,0
" оперативность, внимательность и быстрая доставка. нет. Нам посоветовал врач и мы воспользовались, удивительно так оперативно и быстро доставили на дом, честно говоря переживали,но напрасно, к нашему удивлению так аккуратно было сложена  и всё в полном порядке. Моей маме 80 лет , вот уже второй месяц лекарства не принимаем, а аппарат очень помог  маме ,она довольна и не нарадуется.  OMRON E4 ЭЛЕКТРОННЫЙ МАССАЖЕР ,что надо , главное помогает. Спасибо большое команде ""Юлмарт"".",5,5,0
" Заказывал 27 мая жесткий диск Оперативку и блок питания 8 июня все пришло, четко как в аптеке спасибо. Нет.",5,0,1
" Неоднократно пользовалась и доставкой, и самовывозом, обращалась по гарантии - нравится все. Обслуживание быстрое и вежливое, товар всегда был запечатан, никакого б/у или не соответствующего коробке товара мне не попадалось. За все время были и крупные покупки (холодильник, кухонная плита) и множество мелких (различная электроника, комплектующие и другие товары), и ни одной проблемы.",5,0,2
" Удобный Магазин хорошее обслуживание, бонусы, большой ассортимент товара . Нет ... Всем советую этот магазин ...",5,0,0
 Очень хороший маркет все есть. мало дорого товара нужно больше =). Желаю удачи вам супер маркет.,5,0,0
" Доступные цены, быстро, удобно. Нет. Всем советую этот магазин.",5,0,0
" Хороший магазин. Большой выбор разнообразного товара.Адекватная цена.Вежливый и отзывчивый персонал.Хорошо налажена обратная связь.( смс, эл.почта). Пока нет. Особая благодарность персоналу Кореновского пункта выдачи , который открылся совсем недавно. Однозначно буду покупать здесь.",5,0,0
" приемлемые цены, много отзывов о товарах. тяжёлый сайт. Постоянно покупаю в данном магазине, иногда попадаются товары со вскрытой упаковкой - но брака пока не встречал. Всегда забираю самовывозом (из Марьино) удобно и быстро получается.Из недостатков только сайт, да он информативный и удобный, но на стареньких компьютерах очень сильно тормозит.",5,0,0
" удобно и всегда доступно круто надо побольше таких.Еще и доставка есть и быстрая между прочим, а это важно, вообщем я доволен, но правда не всем. немного перевысили цены на товары, выбор есть но не слишком большой да и наверное качество не очент.... для меня вполне таки приличный магазин, а что у всех есть недостатки, так может это и к лучшему....",5,0,0
" Большой ассортимент товаров. Быстрое и удобное оформление заказа. Быстрая, оперативная доставка. Качество товара после доставки. Я нашел только один: На некоторых товарах завышены цены(не значительно). Был в поисках хорошего сервиса. И я его нашел. Теперь всегда буду заказывать здесь.",5,0,0
" широкий ассортимент товаров, быстрый и удобный процесс оформления и получения покупки, грамотные специалисты. отсутствие парковки. магазин очень нравится, делаю не первый раз там покупки.",5,0,0
" Богатый выбор, простота в обслуживании, вежливость и корректность консультантов. побольше бы точек в городе, ну а больше и нет недостатков. Отличная сеть. Найдется всё что захочешь. Очень вежливый и, самое главное, знающий свою работу персонал. Помогли найти товар быстро, без всяких лишних проволочек, а самое главное, еще и предложили аналогичный по характеристикам вариант, но с меньшей ценой. Спасибо.",5,0,0
